Period,Age,Susceptible Number,Infectious Presymptomatic Number,Recovered Number,scenario
74,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
74,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
74,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
74,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
75,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
75,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
75,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
75,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
76,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
76,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
76,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
76,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
77,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
77,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
77,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
77,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
78,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
78,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
78,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
78,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
79,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
79,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
79,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
79,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
80,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
80,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
80,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
80,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
81,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
81,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
81,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
81,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
82,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
82,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
82,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
82,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
83,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
